topic,Article,Book,Book chapter,Conference paper,Data paper,Editorial,Note,Review,Short survey,All
0,94,3,53,96,0,1,4,12,0,263
1,88,0,27,123,0,1,1,6,0,246
2,101,1,21,56,0,3,1,12,0,195
3,101,0,23,52,0,1,2,13,0,192
4,143,0,4,35,1,0,0,8,0,191
5,45,1,10,121,0,0,0,2,0,179
6,99,1,9,15,0,1,10,37,1,173
7,157,0,2,9,0,0,0,0,0,168
8,83,5,19,33,0,0,1,12,0,153
9,109,1,18,14,0,0,2,1,0,145
10,82,0,4,21,0,0,1,9,0,117
11,68,0,6,11,0,1,3,8,0,97
All,1170,12,196,586,1,8,25,120,1,2119
