topic,Article,Book,Book chapter,Conference paper,Data paper,Editorial,Note,Review,Short survey,All
0,978,11,182,564,1,7,13,77,0,1833
1,127,1,8,16,0,1,10,38,1,202
2,65,0,6,6,0,0,2,5,0,84
All,1170,12,196,586,1,8,25,120,1,2119
