k,silhouette_cosine,davies_bouldin,calinski_harabasz,largest_topic_share,smallest_topic_share,largest_smallest_ratio
8,0.07601048052310944,3.6767917712516853,56.821515859754065,0.25,0.056132075471698115,4.453781512605042
10,0.051271628588438034,3.7085040432902225,49.65985090488801,0.1240566037735849,0.04245283018867924,2.922222222222222
12,0.048544809222221375,3.744421922267429,43.930952946036925,0.12358490566037736,0.04575471698113207,2.7010309278350517
14,0.04264015704393387,3.7846632335393275,40.03897643293704,0.09905660377358491,0.03820754716981132,2.5925925925925926
15,0.04348137229681015,3.6538422284192604,38.12931869565456,0.09150943396226414,0.03679245283018868,2.4871794871794872
18,0.04789420962333679,3.647665525814551,34.00394634005295,0.08726415094339622,0.03018867924528302,2.890625
