seed_a,seed_b,adjusted_rand_index,normalized_mutual_info
1,7,0.6213318956333261,0.7444722980118044
1,13,0.7899663890950048,0.8419703791877396
1,21,0.6462464829717373,0.7531584579585794
1,42,0.5705747378121812,0.706787843346829
1,77,0.6326384603973281,0.7465685453651996
1,101,0.6552283142081978,0.7528210575350971
1,202,0.6476036391715024,0.7492558446284263
1,303,0.7015601336257887,0.7862293700573427
1,404,0.6092302916149966,0.7259938635722233
7,13,0.6149957956973415,0.7438866036931805
7,21,0.6385610061063975,0.7621141301619332
7,42,0.7195361579518483,0.7834804311938164
7,77,0.6493178178889268,0.7621041639576327
7,101,0.6274470184649515,0.7501681461040715
7,202,0.6567631031625272,0.7626773935367444
7,303,0.6036081614636224,0.7374496337707652
7,404,0.6152211893387441,0.7376873369921876
13,21,0.5790062814945595,0.7174784602523439
13,42,0.6532379099786041,0.7567299512650781
13,77,0.5965078114889644,0.7242335812235041
13,101,0.6106637595543473,0.7330353796484539
13,202,0.6019929475737972,0.7245536053979694
13,303,0.6203342646749315,0.7418248859362747
13,404,0.5648625497761213,0.700779418932011
21,42,0.5766341640340762,0.7088118611802847
21,77,0.7894333033470582,0.8347115890167226
21,101,0.70643667333596,0.7837529028664038
21,202,0.7808890241469083,0.8256649037602822
21,303,0.7129509968692035,0.786840004317666
21,404,0.6465783822145131,0.7420724040973203
42,77,0.5948727184612885,0.7157799581802621
42,101,0.5748950839737362,0.708175111810111
42,202,0.615634698204974,0.7285390545172824
42,303,0.5583935962860822,0.700157259956676
42,404,0.5989478422555724,0.7270213987558884
77,101,0.7631035852579598,0.82343954349965
77,202,0.877014619102599,0.8907925214662736
77,303,0.7079173953017459,0.7834125903897026
77,404,0.6929713995806082,0.7703743176959242
101,202,0.7721370729036705,0.824593443775826
101,303,0.8404283241851814,0.8524843274566223
101,404,0.758448305703946,0.8007790433953103
202,303,0.7414027287719758,0.8008612776860933
202,404,0.7398146957185202,0.8060319040964707
303,404,0.7656134642991385,0.7978836211616642
