topic,manual_topic_label,pre_2023_share,post_2024_2026_share,share_point_change,relative_change_ratio
3,Generative AI literacy and instructional tool integration,0.0,0.12319228709159079,0.12319228709159079,
5,"ChatGPT, writing, language learning, and prompting",0.009433962264150943,0.11087305838243171,0.10143909611828077,11.752544188537762
2,"Higher education integration, ethics, and professional practice",0.02830188679245283,0.12961971076593465,0.10131782397348182,4.579896447063025
1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",0.04716981132075472,0.13336904124263524,0.08619922992188052,2.827423674343867
9,"Libraries, librarians, and information services",0.0,0.046063202999464384,0.046063202999464384,
8,Healthcare and medical AI literacy,0.08490566037735849,0.08302088912694162,-0.0018847712504168612,0.9778015830506459
6,"Human decision-making, trust, and public-facing AI systems",0.10377358490566038,0.09051955008034279,-0.01325403482531759,0.8722793007742123
7,"Children, games, creative activities, and experiential AI learning",0.1792452830188679,0.07766470273165506,-0.10158058028721285,0.43328728892397034
0,"AI literacy competencies, educator readiness, and ethical understanding",0.2358490566037736,0.11301553294054634,-0.12283352366322725,0.47918585966791644
4,"School curriculum, machine learning, and STEM-oriented AI education",0.3113207547169811,0.09266202463845742,-0.2186587300785237,0.2976416548992875
