topic,Article,Book,Book chapter,Conference paper,Data paper,Editorial,Note,Review,Short survey,All
0,978,11,183,566,1,7,13,76,0,1835
1,127,1,7,15,0,1,10,38,1,200
2,65,0,6,5,0,0,2,6,0,84
All,1170,12,196,586,1,8,25,120,1,2119
