topic,2016.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,All
0,1,2,5,10,40,39,137,492,1108,1834
1,0,0,1,1,2,5,8,31,154,202
2,0,0,0,0,0,0,2,27,55,84
All,1,2,6,11,42,44,147,550,1317,2120
