topic,count,share
0,268,0.12641509433962264
1,260,0.12264150943396226
2,258,0.12169811320754717
3,241,0.11367924528301887
4,235,0.11084905660377359
5,220,0.10377358490566038
6,188,0.08867924528301886
7,187,0.08820754716981132
8,173,0.08160377358490566
9,90,0.04245283018867924
