Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
18,generative_ethical_tools_critical_genai,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",9,libraries_library_librarians_academic_information,17,generative_ethical_tools_critical_genai,0.6928541664341177
17,generative_ethical_tools_critical_genai,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",16,ethical_design_understanding_future_challenges,15,genai_generative_chatgpt_tools_writing,0.6254936541202071
16,ethical_design_understanding_future_challenges,"[0, 2, 4, 6, 7, 8]",8,healthcare_health_medical_care_clinical,14,design_ethical_understanding_children_future,0.6055227674422557
15,genai_generative_chatgpt_tools_writing,"[1, 3, 5]",12,genai_generative_chatgpt_writing_tools,1,self_factors_efficacy_self efficacy_intention,0.5703474702902206
14,design_ethical_understanding_children_future,"[0, 2, 4, 6, 7]",6,human_decision_systems_ethical_public,13,design_children_understanding_ethical_educators,0.47912274206944927
13,design_children_understanding_ethical_educators,"[0, 2, 4, 7]",11,ethical_educators_understanding_future_curriculum,7,children_design_understanding_activities_game,0.44770408638678433
12,genai_generative_chatgpt_writing_tools,"[3, 5]",3,genai_generative_tools_critical_writing,5,chatgpt_writing_language_critical_tools,0.3330029024111776
11,ethical_educators_understanding_future_curriculum,"[0, 2, 4]",2,ethical_higher_integration_educators_critical,10,school_understanding_curriculum_design_12,0.31432306619052675
10,school_understanding_curriculum_design_12,"[0, 4]",0,understanding_future_educators_ethical_competencies,4,school_design_curriculum_machine_12,0.23583674586067616
