term,z_score,log_odds_delta,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,associated_period
recent years,1.812266771276738,0.8562082935909388,4,31,4,31,Pre-2023
secondary schools,1.8095029401013236,1.0184748866077031,3,19,3,16,Pre-2023
design principles,1.8095029401013236,1.0184748866077031,3,19,3,14,Pre-2023
core competencies,1.798760216745053,1.3059005256485268,2,9,2,7,Pre-2023
urgent need,1.7680817924895962,0.8311530797748752,4,32,3,31,Pre-2023
perceived behavioral,1.7013717116118554,1.2156054342138942,2,10,1,8,Pre-2023
algorithmic bias,1.6429541456057086,0.7613191334598701,4,35,3,33,Pre-2023
natural language,1.6429541456057086,0.7613191334598701,4,35,4,33,Pre-2023
behavioral control,1.6116499301525917,1.1350243405793545,2,11,1,9,Pre-2023
starting point,1.6116499301525917,1.1350243405793545,2,11,2,11,Pre-2023
young people,1.5814020398305744,0.8641864853214374,3,23,2,16,Pre-2023
daily life,1.5651100269044855,0.718694528799622,4,37,4,37,Pre-2023
medical imaging,1.5301345601247567,0.8305727135000449,3,24,1,5,Pre-2023
significantly influence,1.5286082490097632,1.0624445547905204,2,12,2,11,Pre-2023
prior experience,1.5286082490097632,1.0624445547905204,2,12,2,12,Pre-2023
theoretical foundation,1.5286082490097632,1.0624445547905204,2,12,2,11,Pre-2023
ethical challenges,1.4912281987296059,0.6788133503576068,4,39,2,34,Pre-2023
daily lives,1.4808417112699803,0.7986055178161937,3,25,3,22,Pre-2023
provide insights,1.451416750042567,0.996564372674329,2,13,2,13,Pre-2023
high school,1.4003470979369648,0.45625015357445076,7,93,5,50,Pre-2023
curriculum design,1.3870509702577232,0.6235219918380785,4,42,4,38,Pre-2023
future work,1.3793766900466706,0.9363715156421017,2,14,2,14,Pre-2023
peer-reviewed articles,1.3793766900466706,0.9363715156421017,2,14,2,13,Pre-2023
cognitive load,1.3793766900466706,0.9363715156421017,2,14,2,9,Pre-2023
digital world,1.3793766900466706,0.9363715156421017,2,14,2,12,Pre-2023
design recommendations,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
various industries,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
design implications,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
multiple-choice questions,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
meaningful engagement,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
certain aspects,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
publicly available,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
qualitative survey,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
policy documents,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
designing effective,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
curriculum redesign,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
ability apply,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
different age,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
need assess,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
reflective practice,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
search strategy,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
factors influence,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
need promote,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
adoption new,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
scientific discourse,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
experience report,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
increasingly relevant,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
review provides,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
reported higher,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
conducted systematic,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
understanding machine,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
researchers practitioners,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
support future,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
medical practice,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
offers implications,1.3463625313005845,1.407532546142236,1,4,1,4,Pre-2023
