topic,manual_topic_label,short_topic_label,pre_2023_share,post_2024_2025_share,share_point_change,change_pct_points,pre_2023_pct,post_2024_2025_pct,direction
3,Generative AI literacy and instructional tool integration,GenAI instructional integration,0.0,0.12319228709159079,0.12319228709159079,12.319228709159079,0.0,12.319228709159079,Increased
5,"ChatGPT, writing, language learning, and prompting",ChatGPT / writing / prompting,0.009433962264150943,0.11087305838243171,0.10143909611828077,10.143909611828077,0.9433962264150944,11.087305838243172,Increased
2,"Higher education integration, ethics, and professional practice",Higher-ed integration / ethics,0.02830188679245283,0.12961971076593465,0.10131782397348182,10.131782397348182,2.8301886792452833,12.961971076593464,Increased
1,"Self-efficacy, acceptance, anxiety, and AI adoption factors",Self-efficacy / adoption,0.04716981132075472,0.13336904124263524,0.08619922992188052,8.619922992188052,4.716981132075472,13.336904124263524,Increased
9,"Libraries, librarians, and information services",Libraries / information services,0.0,0.046063202999464384,0.046063202999464384,4.6063202999464385,0.0,4.6063202999464385,Increased
8,Healthcare and medical AI literacy,Healthcare / medical AI literacy,0.08490566037735849,0.08302088912694162,-0.0018847712504168612,-0.18847712504168612,8.49056603773585,8.302088912694163,Relatively stable
6,"Human decision-making, trust, and public-facing AI systems",Human decision-making / trust,0.10377358490566038,0.09051955008034279,-0.01325403482531759,-1.325403482531759,10.377358490566039,9.051955008034279,Relatively stable
7,"Children, games, creative activities, and experiential AI learning",Children / creative learning,0.1792452830188679,0.07766470273165506,-0.10158058028721285,-10.158058028721285,17.92452830188679,7.766470273165506,Decreased
0,"AI literacy competencies, educator readiness, and ethical understanding",Educator readiness / ethics,0.2358490566037736,0.11301553294054634,-0.12283352366322725,-12.283352366322726,23.58490566037736,11.301553294054633,Decreased
4,"School curriculum, machine learning, and STEM-oriented AI education",School curriculum / STEM,0.3113207547169811,0.09266202463845742,-0.2186587300785237,-21.86587300785237,31.132075471698112,9.266202463845742,Decreased
