term,n_grams,count_pre_2023,count_2024_2025,doc_freq_pre_2023,doc_freq_2024_2025,log_odds_delta,z_score,associated_period
finnish,1,5,12,2,8,1.6482536049897725,3.2780161430247676,Pre-2023
conceptualizations,1,5,12,2,10,1.6482536049897725,3.2780161430247676,Pre-2023
basic concepts,2,5,12,5,11,1.6482536049897725,3.2780161430247676,Pre-2023
understanding,1,63,773,43,550,0.3485586274381509,3.2770267060233063,Pre-2023
preliminary,1,10,50,10,47,1.0170355170358851,3.2426027890364235,Pre-2023
high-level,1,4,7,4,7,1.932905391848955,3.234440448406366,Pre-2023
beijing,1,4,7,2,4,1.932905391848955,3.234440448406366,Pre-2023
increasingly popular,2,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
present design,2,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
contextualized,1,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
near future,2,3,2,3,2,2.818104378000509,3.228335913235087,Pre-2023
co-design,1,8,34,4,24,1.1518948195932222,3.1978748313159184,Pre-2023
school,1,42,460,28,228,0.4244250857656944,3.18471482216384,Pre-2023
devices,1,5,13,2,13,1.5770437579677896,3.1823645886539125,Pre-2023
supervised,1,5,13,4,11,1.5770437579677896,3.1823645886539125,Pre-2023
professions,1,6,20,4,16,1.3592071333581188,3.137703983966211,Pre-2023
enable,1,11,62,9,59,0.9198419623610707,3.1375567184360293,Pre-2023
society,1,20,162,20,145,0.6393603814296993,3.129280266808295,Pre-2023
inform design,2,3,3,3,3,2.4457633460138766,3.1225523123742764,Pre-2023
attending,1,3,3,2,3,2.4457633460138766,3.1225523123742764,Pre-2023
near,1,3,3,3,3,2.4457633460138766,3.1225523123742764,Pre-2023
game design,2,3,3,2,3,2.4457633460138766,3.1225523123742764,Pre-2023
different countries,2,3,3,3,3,2.4457633460138766,3.1225523123742764,Pre-2023
early age,2,3,3,3,3,2.4457633460138766,3.1225523123742764,Pre-2023
conversational agent,2,3,3,2,3,2.4457633460138766,3.1225523123742764,Pre-2023
newly,1,4,8,4,8,1.8119077698758108,3.1137812868510175,Pre-2023
ability,1,21,176,9,151,0.6141489963079998,3.0989838052217777,Pre-2023
everyday lives,2,5,14,5,14,1.511526721820859,3.0906640868661994,Pre-2023
augmented,1,5,14,2,14,1.511526721820859,3.0906640868661994,Pre-2023
